titulo,genero,ano,nota,duracao
Inception,Ação,2010,8.8,148
Titanic,Romance,1997,7.8,195
Interstellar,Ficção,2014,8.6,169
Matrix,Ficção,1999,8.7,136
Vingadores: Ultimato,Ação,2019,8.4,181
La La Land,Musical,2016,8.0,128
Whiplash,Drama,2014,8.5,107
O Rei Leão,Animação,1994,8.5,88
Parasita,Drama,2019,8.6,132
Homem-Aranha: Sem Volta para Casa,Ação,2021,8.3,148
