genero,titulo,ano,duracao,nota
Ação,Homem-Aranha: Sem Volta para Casa,2021,148,8.3
Ação,Vingadores: Ultimato,2019,181,8.4
Drama,Parasita,2019,132,8.6
Musical,La La Land,2016,128,8.0
